文件名	扩展名	大小(bytes)	Mapper	错误
第四次机器人大战[外星科技汉化](JP)[SLG](6Mb).nes	nes	786448	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
电脑教室[爱尔普](CN)[ETC](4Mb).nes	nes	524304	177	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 177(177)
东方的传说[外星科技汉化 (qqgba转简体版)](JP)[RPG](1Mb).nes	nes	131088	245	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 245(245)
动感2000[奔力](CN)[ETC](2Mb).unf	unf	262251	-	Not an iNES ROM: header is not NES<EOF>
赌神[外星科技](JP)[TAB](4Mb).nes	nes	524304	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
赌神[先锋卡通汉化](JP)[TAB](3Mb).nes	nes	393232	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
赌王[酷哥电子](JP)[TAB](4Mb).nes	nes	524304	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
夺宝小英豪 - 光明与黑暗传说[外星科技](CN)[RPG](4Mb).nes	nes	524304	249	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 249(249)
恶魔城2 - 西蒙的任务 (繁体中文版) (v1.1)[未名汉化组汉化](US)[ACT](3Mb).nes	nes	393232	10	This ROM uses a mapper not supported by JSNES: Nintendo MMC4(10)
恶魔城2 - 西蒙的任务 (简体中文版) (v1.1)[未名汉化组汉化](US)[ACT](3Mb).nes	nes	393232	10	This ROM uses a mapper not supported by JSNES: Nintendo MMC4(10)
恶魔城传说(v2.3)[汉化你妹汉化组](4Mb).nes	nes	524304	26	This ROM uses a mapper not supported by JSNES: Unknown Mapper(26)
恶魔城传说海报.jpg	jpg	422023	-	Not an iNES ROM: header is not NES<EOF>
恶魔城传说汉化说明.txt	txt	3786	-	Not an iNES ROM: header is not NES<EOF>
二战之经典战役[恒格电子](JP)[SLG](8Mb).nes	nes	1048592	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
法老王[外星科技](CN)[RPG](8Mb).nes	nes	1048592	162	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 162(162)
反恐风暴之海湾战争[晶科泰](JP)[SLG](4Mb).nes	nes	524304	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
反恐精英[恒格电子](CN)[RPG](8Mb).nes	nes	1048592	178	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 178(178)
方世玉[南晶科技](CN)[RPG](4Mb).nes	nes	524304	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
丰利跳舞机[丰利](CN)[ETC](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
封神榜 - 伏魔三太子[晶科泰](CN)[RPG](8Mb).nes	nes	1048592	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
封神榜 - 伏魔三太子[C&E Inc (147201688 转简体版)](CN)[RPG](8Mb).nes	nes	1048592	246	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 246(246)
封神榜 - 伏魔三太子[C&E Inc](CN)[RPG](8Mb).nes	nes	1048592	246	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 246(246)
封神榜[外星科技](CN)[FTG](4Mb).nes	nes	524304	249	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 249(249)
富甲三国[外星科技](CN)[TAB](8Mb).nes	nes	1048592	162	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 162(162)
高达骑士物语[外星科技汉化](JP)[RPG](5Mb).nes	nes	655376	199	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 199(199)
高达骑士物语2 - 光之骑士[外星科技汉化](JP)[RPG](6Mb).nes	nes	786448	199	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 199(199)
高达骑士物语3 - 传说之骑士团[外星科技汉化](JP)[RPG](6Mb).nes	nes	786448	199	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 199(199)
哥伦布传[外星科技汉化](JP)[RPG](4Mb).nes	nes	524304	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
格斗七龙珠[恒格电子](CN)[RPG](8Mb).nes	nes	1048592	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
格兰蒂亚[酷哥电子](CN)[RPG](8Mb).nes	nes	1048592	227	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 227(227)
格兰蒂亚[外星科技](CN)[RPG](8Mb).nes	nes	1048592	227	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 227(227)
鬼魅战记[外星科技汉化](JP)[RPG](6Mb).nes	nes	786448	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
汉刘邦[南晶科技](CN)[SLG](8Mb).nes	nes	1048592	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
核心危机[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
黑暗之蛊[火星电子](CN)[AVG](4Mb).nes	nes	524304	164	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 164(164)
轰天至尊[TXC](CN)[ACT](2Mb).nes	nes	262160	189	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 189(189)
葫芦金刚[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
幻世录[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
幻想传说[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
荒野大镖客(v1.0)[DMG](2Mb).nes	nes	163856	119	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 119(119)
黄帝 - 涿鹿之战[Asder](CN)[ACT](3Mb).nes	nes	393232	112	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 112(112)
黄飞鸿[南晶科技](CN)[RPG](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
黄金太阳[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
毁灭之神[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
魂斗罗 (v2)[Jixun汉化](JP)[ACT](3Mb).nes	nes	393232	23	This ROM uses a mapper not supported by JSNES: Konami VRC2a(23)
魂斗罗 力量(v1.2)[DMG](4Mb).nes	nes	524304	192	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 192(192)
魂斗罗[九班汉化](JP)[ACT](2Mb).nes	nes	262160	23	This ROM uses a mapper not supported by JSNES: Konami VRC2a(23)
魂斗罗[酷酷小熊汉化 MS修正](JP)[ACT](2Mb).nes	nes	262160	23	This ROM uses a mapper not supported by JSNES: Konami VRC2a(23)
魂斗罗[星空汉化](JP)[ACT](2.06Mb).nes	nes	270352	23	This ROM uses a mapper not supported by JSNES: Konami VRC2a(23)
混沌世界[外星科技汉化](JP)[RPG](6Mb).nes	nes	786448	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
火焰纹章 - 圣战的系谱[外星科技](CN)[RPG](8Mb).nes	nes	1048592	162	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 162(162)
火影忍者[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
霍元甲[南晶科技](CN)[RPG](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
机甲战士[外星科技](JP)[RPG](6Mb).nes	nes	786448	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
