文件名	扩展名	大小(bytes)	Mapper	错误
牧场物语[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
哪吒传奇[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
农场小精灵[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
女神的救赎[外星科技汉化](JP)[RPG](5Mb).nes	nes	655376	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
泡泡龙2 (v20110207)[Nokoh汉化](JP)[ACT](2.12Mb).nes	nes	278544	48	This ROM uses a mapper not supported by JSNES: Unknown Mapper(48)
平成BT帝国战[小鬼混汉化](JP)[ACT](2Mb).nes	nes	262160	19	This ROM uses a mapper not supported by JSNES: Namcot 106 chip(19)
破釜沉舟[WXN Decryption](CN)[RPG](4Mb).nes	nes	524304	176	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 176(176)
扑克麻雀[Sachen](CN)[TAB](0.5Mb).nes	nes	65552	141	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 141(141)
七国大战[南晶科技](CN)[SLG](8Mb).nes	nes	1048592	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
七龙珠大冒险[南晶科技](CN)[RPG](8Mb).nes	nes	1048592	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
七龙珠Z - 超武斗传5 (可选语言版)[Rex](CN)[ACT](6Mb).nes	nes	786448	12	This ROM uses a mapper not supported by JSNES: FFE F6xxx(12)
齐天大圣[南晶科技](CN)[RPG](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
棋王[TXC](CN)[TAB](0.75Mb).nes	nes	98320	133	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 133(133)
启智屋A[小霸王](CN)[PUZ](2Mb).nes	nes	262160	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
启智屋B[小霸王](CN)[PUZ](2Mb).nes	nes	262160	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
拳皇R-1 最强格斗王[南晶科技](CN)[RPG](4Mb).nes	nes	524304	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
拳皇R-2 大蛇四天王[南晶科技](CN)[RPG](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
热血高校躲避球部 - 足球篇 (繁体中文版)[AXI AHE汉化](JP)[SPG](7Mb).nes	nes	917536	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
热血高校躲避球部 - 足球篇 (简体中文版)[AXI AHE汉化](JP)[SPG](7Mb).nes	nes	917536	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
热血格斗传说 (繁体中文版) (v20130718)[AXI AHE汉化](JP)[FTG](3.11Mb).nes	nes	408768	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
热血格斗传说 (简体中文版) (v20130718)[AXI AHE汉化](JP)[FTG](3.11Mb).nes	nes	408768	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
热血曲棍球 (繁体中文版)[AXI AHE汉化](JP)[SPG](4Mb).nes	nes	524304	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
热血曲棍球 (简体中文版)[AXI AHE汉化](JP)[SPG](4Mb).nes	nes	524304	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
热血时代剧 (繁体中文版) (v0.91)[AXI AHE汉化](JP)[ACT](2.5Mb).nes	nes	327696	191	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 191(191)
热血时代剧 (简体中文版) (v0.8)[AXI AHE汉化](JP)[ACT](2.5Mb).nes	nes	327696	191	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 191(191)
热血物语[madcell汉化](JP)[ACT](2.5Mb).nes	nes	327696	191	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 191(191)
热血新记录 (繁体中文版) (v1.0)[AXI AHE汉化](JP)[SPG](4Mb).nes	nes	524304	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
热血新记录 (简体中文版) (v1.1)[AXI AHE汉化](JP)[SPG](4Mb).nes	nes	524304	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
忍者龙剑传[TPU汉化](JP)[ACT](3Mb).nes	nes	393232	111	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 111(111)
忍者猫 (v1.11)[汉化你妹汉化组汉化](JP)[ACT](4Mb).nes	nes	524304	195	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 195(195)
忍者神龟2 - 曼哈顿计划 (v1.1)[未名汉化组 & 法兰克飞鸟汉化](JP)[ACT](6Mb).nes	nes	786960	25	This ROM uses a mapper not supported by JSNES: Konami VRC4b(25)
忍者神龟3[勒大治汉化 MS修正](JP)[ACT](4Mb).nes	nes	524304	25	This ROM uses a mapper not supported by JSNES: Konami VRC4b(25)
认知码学习[小霸王](CN)[ETC](4Mb).nes	nes	524304	167	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 167(167)
任天堂战争[快乐的龙汉化](JP)[SLG](2Mb).nes	nes	262160	10	This ROM uses a mapper not supported by JSNES: Nintendo MMC4(10)
荣丰学习卡[荣丰](CN)[ETC](2Mb).nes	nes	262160	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
荣耀之骑士团[酷哥电子](JP)[RPG](6Mb).nes	nes	786448	199	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 199(199)
塞尔达传说 - 林克冒险[小笨笨汉化](US)[ACT](2Mb).nes	nes	262160	19	This ROM uses a mapper not supported by JSNES: Namcot 106 chip(19)
塞尔达传说 - 三神之力[外星科技](CN)[RPG](16Mb).nes	nes	2097168	162	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 162(162)
塞尔达传说 - 神奇的帽子[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
三国春秋 - 四川省[卡圣](CN)[TAB](2Mb).nes	nes	262160	115	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 115(115)
三国大乱斗 - 战国[南晶科技](CN)[RPG](8Mb).nes	nes	1048592	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
三国群侠传[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
三国桃园记[未知](CN)[RPG](4Mb).nes	nes	524304	227	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 227(227)
三国无双 - 猛将传[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
三国志 - 傲视天地[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
三国志 - 曹操传[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
三国志 - 赤壁之战[Asder](CN)[ACT](3Mb).nes	nes	393232	112	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 112(112)
三国志 - 吕布传[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
三国志 - 千军破[恒格电子](JP)[SLG](8Mb).nes	nes	1048592	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
三国志 - 群雄争霸[Asder](CN)[FTG](3Mb).nes	nes	393232	112	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 112(112)
三国志 - 雄霸天下[外星科技](CN)[SLG](4Mb).nes	nes	524304	176	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 176(176)
三国志[外星科技汉化](JP)[SLG](3Mb).nes	nes	393232	252	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 252(252)
三国志2 - 霸王的大陆 (繁体中文版)[宣云 张晓波 蓝一冬 汉化](JP)[SLG](6.93Mb).exe	exe	909312	-	Not an iNES ROM: header is not NES<EOF>
三国志2 - 霸王的大陆 (简体中文版)[宣云 张晓波 蓝一冬 汉化](JP)[SLG](6.93Mb).exe	exe	909312	-	Not an iNES ROM: header is not NES<EOF>
三国志2 - 霸王的大陆 (中文加强版)[外星游戏大厅](JP)[SLG](6Mb).nes	nes	786448	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
三国志2 - 霸王的大陆 (v0.95) (v20170430)[霸王的大陆](JP)[SLG](4Mb).nes	nes	524304	19	This ROM uses a mapper not supported by JSNES: Namcot 106 chip(19)
三国志2 - 霸王的大陆 (v3.1) (v20170519)[霸王的大陆](JP)[SLG](4Mb).nes	nes	524304	19	This ROM uses a mapper not supported by JSNES: Namcot 106 chip(19)
三国志2[恒格电子](JP)[SLG](8Mb).nes	nes	1048592	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
三国志2[外星科技汉化](JP)[SLG](8Mb).nes	nes	1048592	164	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 164(164)
三国志4 - 赤壁风云[Future](CN)[ACT](4Mb).nes	nes	524304	117	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 117(117)
三国忠烈传[外星科技](CN)[RPG](4Mb).nes	nes	524304	178	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 178(178)
三十六计[外星科技](CN)[TAB](4Mb).nes	nes	524304	249	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 249(249)
三侠五义 - 御猫传奇[外星科技](CN)[RPG](8Mb).nes	nes	1048592	176	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 176(176)
沙罗曼蛇2[烈火暴龙汉化](JP)[STG](2Mb).nes	nes	262160	25	This ROM uses a mapper not supported by JSNES: Konami VRC4b(25)
沙罗曼蛇2[未知](JP)[STG](2Mb).nes	nes	262160	25	This ROM uses a mapper not supported by JSNES: Konami VRC4b(25)
闪闪的红星[南晶科技](CN)[RPG](4Mb).nes	nes	524304	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
上古神殿[外星科技汉化](JP)[RPG](6Mb).nes	nes	786448	199	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 199(199)
上古神剑[恒格电子](CN)[SLG](8Mb).nes	nes	1048592	177	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 177(177)
上海大亨[外星科技](CN)[TAB](4Mb).nes	nes	524304	15	This ROM uses a mapper not supported by JSNES: 100-in-1 switch(15)
少林武者[Sachen](CN)[ACT](2Mb).nes	nes	262160	147	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 147(147)
少年游侠[外星科技](CN)[RPG](6Mb).nes	nes	786448	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
射雕英雄传[南晶科技](CN)[RPG](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
神风剑[外星科技](JP)[RPG](8Mb).nes	nes	1048592	176	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 176(176)
神鬼传奇[外星科技](CN)[RPG](8Mb).nes	nes	1048592	162	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 162(162)
神话剑云3[恒格电子](JP)[RPG](6Mb).nes	nes	786448	253	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 253(253)
神密金三角[外星科技汉化](JP)[RPG](1Mb).nes	nes	131088	245	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 245(245)
生化危机[外星科技](CN)[AVG](8Mb).nes	nes	1048592	15	This ROM uses a mapper not supported by JSNES: 100-in-1 switch(15)
生命的奇迹 - 超级宝宝[MS汉化](JP)[ACT](2Mb).nes	nes	262160	25	This ROM uses a mapper not supported by JSNES: Konami VRC4b(25)
圣斗士星矢 - 北欧突击篇[南晶科技](CN)[RPG](8Mb).nes	nes	1048592	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
圣斗士星矢 - 黄金传说完结篇 (繁体中文版) (v1.0)[汉化你妹汉化组汉化](JP)[RPG](4Mb).nes	nes	524304	67	This ROM uses a mapper not supported by JSNES: SunSoft3 chip(67)
圣斗士星矢 - 黄金传说完结篇 (简体中文版) (v1.0)[汉化你妹汉化组汉化](JP)[RPG](4Mb).nes	nes	524304	67	This ROM uses a mapper not supported by JSNES: SunSoft3 chip(67)
圣斗士星矢 - 天马之幻想[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
圣火徽章 - 索非亚复苏[外星科技汉化](JP)[SLG](5Mb).nes	nes	655376	165	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 165(165)
圣火徽章[外星科技汉化](JP)[RPG](5Mb).nes	nes	655376	165	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 165(165)
圣火徽章3[外星科技](CN)[RPG](8Mb).nes	nes	1048592	162	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 162(162)
圣火徽章外传 (繁体中文版)[宣云 张晓波 汉化](JP)[SLG](5.43Mb).exe	exe	712704	-	Not an iNES ROM: header is not NES<EOF>
圣火徽章外传 (简体中文版)[宣云 张晓波 汉化](JP)[SLG](5.43Mb).exe	exe	712704	-	Not an iNES ROM: header is not NES<EOF>
圣火徽章外传[酷哥电子](JP)[SLG](5Mb).nes	nes	655376	165	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 165(165)
圣火列传[晶科泰](CN)[RPG](2Mb).nes	nes	262160	240	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 240(240)
圣火列传[C&E Inc](CN)[RPG](2Mb).nes	nes	262160	240	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 240(240)
圣火少侠[南晶科技](CN)[RPG](2Mb).nes	nes	262160	240	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 240(240)
圣剑传说[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
石器时代[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
时空斗士[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
时空之轮[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
侍魂 (可选语言版)[Sachen](CN)[FTG](8Mb).unf	unf	1048673	-	Not an iNES ROM: header is not NES<EOF>
视窗系统2000[三佳](CN)[ETC](4Mb).nes	nes	524304	178	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 178(178)
视窗系统2000[小霸王](CN)[ETC](4Mb).nes	nes	524304	178	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 178(178)
数独 & 五子棋[南晶科技](CN)[PUZ](2Mb).nes	nes	262160	198	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 198(198)
数独四合一[未知](CN)[PUZ](1.5Mb).unf	unf	196702	-	Not an iNES ROM: header is not NES<EOF>
数码宝贝[酷哥电子](CN)[RPG](8Mb).nes	nes	1048592	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
数码暴龙[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
数码暴龙4 - 水晶版[外星科技](CN)[RPG](8Mb).nes	nes	1048592	164	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 164(164)
数码战队2[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
数学教授系统 - 小学三年级[小霸王](CN)[ETC](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
数学小状元[数奇玉](CN)[ETC](1.5Mb).nes	nes	196624	176	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 176(176)
双截龙3[Madcell汉化](JP)[ACT](2.25Mb).nes	nes	294928	191	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 191(191)
双月传[外星科技](JP)[RPG](8Mb).nes	nes	1048592	176	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 176(176)
水浒传[外星科技](CN)[SLG](4Mb).nes	nes	524304	249	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 249(249)
水浒神兽[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
水浒神兽[外星科技](CN)[RPG](8Mb).nes	nes	1048592	176	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 176(176)
水浒III[南晶科技](CN)[SLG](8Mb).nes	nes	1048592	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
说明.txt	txt	2798	-	Not an iNES ROM: header is not NES<EOF>
丝路传奇[恒格电子](CN)[RPG](8Mb).nes	nes	1048592	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
松鼠大作战 (v1.1)[汉化你妹汉化组汉化](JP)[ACT](3Mb).nes	nes	393232	192	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 192(192)
松鼠大作战2 (v1.13)[汉化你妹汉化组汉化](JP)[ACT](3Mb).nes	nes	393232	192	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 192(192)
隋唐英雄[南晶科技](CN)[SLG](8Mb).nes	nes	1048592	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
台湾花牌麻雀[Sachen](CN)[TAB](0.37Mb).nes	nes	49168	150	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 150(150)
台湾麻雀[Sachen](CN)[TAB](0.37Mb).nes	nes	49168	149	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 149(149)
太空幻想[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
太空战士5[火星电子](CN)[RPG](4Mb).nes	nes	524304	164	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 164(164)
唐伯虎点秋香[南晶科技](CN)[RPG](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
天龙八部[南晶科技](CN)[RPG](8Mb).nes	nes	1048592	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
天神之剑[外星科技汉化](JP)[RPG](6Mb).nes	nes	786448	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
天使之翼2 (v20151001)[太阳王子葵新伍汉化](JP)[SPG](6Mb).nes	nes	786448	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
天使之翼2[外星科技汉化 (lirdrepus繁体版 KANOU转简体第二版)](JP)[SPG](6Mb).nes	nes	786448	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
天使之翼2[外星科技汉化 (lirdrepus转繁体版)](JP)[SPG](6Mb).nes	nes	786448	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
天使之翼2[外星科技汉化](JP)[SPG](6Mb).nes	nes	786448	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
天使之翼2[MS汉化](JP)[SPG](6Mb).nes	nes	786448	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
挑战汉卡[新科](CN)[ETC](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
铁血联盟[恒格电子](JP)[RPG](6Mb).nes	nes	786448	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
突击[Joy Van](CN)[ACT](1Mb).nes	nes	131088	79	This ROM uses a mapper not supported by JSNES: Unknown Mapper(79)
图形推理 & 智力拼图[先锋卡通](CN)[PUZ](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
兔宝宝大冒险[MS汉化](JP)[ACT](2Mb).nes	nes	262160	23	This ROM uses a mapper not supported by JSNES: Konami VRC2a(23)
兔宝宝历险记2[烈火暴龙汉化](JP)[ACT](2Mb).nes	nes	262160	85	This ROM uses a mapper not supported by JSNES: Unknown Mapper(85)
推倒胡麻将[凯程电子汉化](JP)[TAB](0.5Mb).nes	nes	65552	171	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 171(171)
吞食天地2 - 秋风五丈原 (吞1音乐) (v20170225)[NT汉化组](JP)[RPG](5Mb).nes	nes	655376	198	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 198(198)
吞食天地2 - 秋风五丈原 (吞2音乐) (v20170225)[NT汉化组](JP)[RPG](5Mb).nes	nes	655376	198	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 198(198)
吞食天地2 (不花屏版)[先锋卡通汉化](JP)[RPG](8Mb).nes	nes	1048592	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
吞食天地6 - 刘备传[南晶科技](CN)[RPG](8Mb).nes	nes	1048592	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
外星战士[外星科技 (147201688转简体版)](CN)[RPG](4Mb).nes	nes	524304	242	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 242(242)
外星战士[外星科技](CN)[RPG](4Mb).nes	nes	524304	242	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 242(242)
外星战士2[外星科技 (147201688转简体版)](CN)[RPG](8Mb).nes	nes	1048592	15	This ROM uses a mapper not supported by JSNES: 100-in-1 switch(15)
外星战士2[外星科技](CN)[RPG](8Mb).nes	nes	1048592	15	This ROM uses a mapper not supported by JSNES: 100-in-1 switch(15)
王者无双[南晶科技](CN)[RPG](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
王中霸学习卡[荣丰](CN)[ETC](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
王子复仇记[恒格电子](CN)[TAB](8Mb).nes	nes	1048592	177	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 177(177)
威洛传奇[金巴比伦汉化](JP)[RPG](4Mb).nes	nes	524304	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
文字广场 & 排雷[未知](CN)[PUZ](2Mb).unf	unf	262249	-	Not an iNES ROM: header is not NES<EOF>
无敌学习卡[BiTe](CN)[ETC](4Mb).nes	nes	524304	170	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 170(170)
无极魔界[恒格电子](CN)[RPG](8Mb).nes	nes	1048592	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
无间道风云[恒格电子](JP)[SLG](8Mb).nes	nes	1048592	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
武侠天地[南晶科技](CN)[RPG](8Mb).nes	nes	1048592	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
悟空斗剧[恒格电子](JP)[RPG](6Mb).nes	nes	786448	253	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 253(253)
西楚霸王[外星科技](CN)[RPG](8Mb).nes	nes	1048592	176	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 176(176)
西天取经[TXC](CN)[ACT](1Mb).nes	nes	131088	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
西游记后传[外星科技](CN)[RPG](8Mb).nes	nes	1048592	162	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 162(162)
侠客传奇[晶科泰](CN)[RPG](2Mb).nes	nes	262160	240	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 240(240)
仙剑奇侠[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
仙剑神曲[外星科技汉化](JP)[RPG](4Mb).nes	nes	524304	245	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 245(245)
仙剑问情[南晶科技](CN)[RPG](4Mb).nes	nes	524304	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
仙界精灵[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
香帅传奇[南晶科技](CN)[RPG](8Mb).nes	nes	1048592	227	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 227(227)
象棋学园[Sachen](CN)[TAB](0.37Mb).nes	nes	49168	150	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 150(150)
小霸王学习机V1.1[小霸王](CN)[ETC](2Mb).nes	nes	262160	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
小霸王学习机V11[小霸王](CN)[ETC](8Mb).nes	nes	1048592	168	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 168(168)
小霸王学习机V13[小霸王](CN)[ETC](4Mb).nes	nes	524304	168	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 168(168)
小霸王学习机V3[小霸王](CN)[ETC](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
小霸王学习机V4[小霸王](CN)[ETC](8Mb).nes	nes	1048592	167	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 167(167)
小霸王学习机V5[小霸王](CN)[ETC](8Mb).nes	nes	1048592	168	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 168(168)
小霸王学习机V6[小霸王](CN)[ETC](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
小霸王学习机V6+[小霸王](CN)[ETC](4Mb).nes	nes	524304	178	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 178(178)
小霸王学习机V8[小霸王](CN)[ETC](8Mb).nes	nes	1048592	177	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 177(177)
小霸王英语词霸卡[小霸王](CN)[ETC](8Mb).nes	nes	1048592	167	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 167(167)
小百科学习机[深圳凌捷](CN)[ETC](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
小博士[鸿达](CN)[ETC](8Mb).nes	nes	1048592	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
笑傲江湖[外星科技](CN)[RPG](8Mb).nes	nes	1048592	15	This ROM uses a mapper not supported by JSNES: 100-in-1 switch(15)
笑傲江湖群侠记[南晶科技](CN)[RPG](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
新英雄传[南晶科技](CN)[RPG](2Mb).nes	nes	262160	240	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 240(240)
新月剑痕[南晶科技](CN)[RPG](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
星河战士[恒格电子](CN)[RPG](4Mb).nes	nes	524304	177	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 177(177)
星际争霸[恒格电子](CN)[RPG](4Mb).nes	nes	524304	178	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 178(178)
星战情缘[恒格电子](CN)[RPG](8Mb).nes	nes	1048592	177	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 177(177)
熊猫太子[dragon2snow](CN)[ACT](4Mb).nes	nes	524304	121	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 121(121)
轩辕剑外传之天之痕[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
学生电脑[高昇达](CN)[ETC](4Mb).nes	nes	524304	178	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 178(178)
